transaction_id,transaction_date,transaction_amount,merchant_category,card_type,transaction_location,cardholder_age,cardholder_gender,transaction_description,account_balance,calander_income
79,21-12-2023,8787,Entertainment,Discover,Smara,89,Female,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",22546,32332
80,14-05-2024,2976,Electronics,MasterCard,Jiuquan,69,Male,Duis ac nibh.,44268,110983
81,24-11-2023,3599,Healthcare,MasterCard,Santa Cruz do Rio Pardo,87,Genderfluid,Vestibulum rutrum rutrum neque.,33336,180011
82,16-03-2024,3891,Travel,Discover,Tanjungbahagia,88,Female,Vestibulum sed magna at nunc commodo placerat.,78196,177214
83,03-05-2024,3822,Education,MasterCard,Xianghu,50,Agender,Maecenas tincidunt lacus at velit.,56423,143103
84,29-11-2023,2107,Clothing,Visa,Maringá,58,Female,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",49048,57098
85,26-05-2024,234,Restaurant,MasterCard,Kumba,37,Female,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",25566,164860
86,19-11-2023,6886,Travel,Visa,San Isidro,96,Male,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",8421,74522
87,13-12-2023,1151,Restaurant,Visa,Fraile Pintado,72,Female,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,68417,67290
88,01-11-2023,6831,Healthcare,Visa,Xipi,67,Male,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,98942,172036
89,02-09-2024,5663,Groceries,Discover,Eskilstuna,98,Male,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,87981,119329
90,05-02-2024,18,Travel,Discover,Bromma,33,Male,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",58305,122622
91,22-10-2023,5114,Healthcare,MasterCard,Pivijay,62,Female,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",4758,52456
92,23-06-2024,3960,Restaurant,Amex,Dualing,99,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",43504,36346
93,28-12-2023,7826,Healthcare,Amex,Siqiao,88,Male,In sagittis dui vel nisl.,17478,27564
94,23-04-2024,2570,Travel,Visa,Settat,39,Male,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",97878,106615
95,12-11-2023,6219,Education,Amex,Quinta da Torre,99,Female,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",91987,169677
96,25-02-2024,776,Entertainment,MasterCard,Santa Maria,81,Female,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",86057,191649
97,06-10-2023,1450,Restaurant,Discover,Komaki,85,Male,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",26455,146681
98,08-08-2024,7112,Groceries,MasterCard,Jelcz,18,Male,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,48150,115331
99,20-05-2024,8938,Education,MasterCard,Xin’andu,45,Female,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",72305,178893
100,19-06-2024,8962,Clothing,Visa,Akora,81,Female,Suspendisse potenti. In eleifend quam a odio.,87237,74110
101,28-02-2024,4865,Restaurant,Amex,Nankou,73,Female,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",716,61966
102,20-06-2024,1242,Restaurant,MasterCard,Dailing,66,Female,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",34188,69412
103,01-04-2024,4630,Healthcare,Visa,Shuangqiaoping,83,Female,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",6142,96014
104,24-03-2024,1821,Groceries,Visa,Dailing,45,Male,Suspendisse ornare consequat lectus.,12614,54332
105,27-01-2024,5963,Restaurant,Visa,Ipaba,43,Female,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",83818,192953
106,30-10-2023,3905,Entertainment,Amex,Cardal,48,Male,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",21855,176378
107,22-12-2023,3216,Education,Amex,Zhongling,48,Female,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,98428,109999
108,09-05-2024,8289,Clothing,MasterCard,Rora Timur,46,Female,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,9999,109900
109,09-04-2024,549,Groceries,Visa,Shiqiao,95,Male,Suspendisse accumsan tortor quis turpis. Sed ante.,7945,179579
110,10-10-2023,4315,Clothing,Visa,Namibe,81,Female,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",70151,49418
111,12-06-2024,341,Groceries,Discover,Moganshan,91,Polygender,Morbi non quam nec dui luctus rutrum. Nulla tellus.,79397,45498
112,02-11-2023,6002,Electronics,Discover,Camatindi,37,Female,Proin interdum mauris non ligula pellentesque ultrices.,25949,193014
113,30-03-2024,8509,Travel,Amex,Mīrābād,82,Female,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",86972,45264
114,01-01-2024,8043,Travel,Discover,Dębe Wielkie,96,Male,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",4062,36053
115,07-12-2023,9220,Education,Visa,Mszana Dolna,18,Female,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",30002,119029
116,14-08-2024,5907,Groceries,Visa,Tshaneni,26,Female,Nullam molestie nibh in lectus.,75519,41375
117,26-03-2024,944,Education,Amex,Sävsjö,93,Female,Donec posuere metus vitae ipsum.,24190,185387
118,17-09-2023,9538,Electronics,Discover,Visby,78,Male,Morbi porttitor lorem id ligula.,60244,171294
119,15-11-2023,3400,Groceries,Amex,Recarei,42,Male,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",35363,78532
120,08-02-2024,4918,Electronics,MasterCard,Tatebayashi,87,Male,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",69862,40736
121,01-06-2024,2133,Clothing,MasterCard,Nuwaybi‘a,34,Genderfluid,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8938,113625
122,02-09-2024,5911,Groceries,MasterCard,Margara,25,Female,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,70575,76847
123,06-06-2024,522,Restaurant,Visa,Teresa,26,Female,Proin at turpis a pede posuere nonummy.,29116,24440
124,03-11-2023,5416,Restaurant,Discover,Maoping,49,Male,Aenean fermentum.,86795,193149
125,09-12-2023,4968,Entertainment,MasterCard,Caleta Olivia,29,Male,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",93399,133173
126,03-12-2023,3231,Entertainment,Amex,Jindřichov,95,Male,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,82528,193806
127,28-01-2024,1938,Travel,MasterCard,Pujijie,55,Female,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",93235,54350
128,09-09-2024,4729,Electronics,MasterCard,Banī Suhaylā,84,Female,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,5391,24633
129,14-05-2024,7232,Healthcare,Amex,Shipaidong,93,Female,Nunc purus.,91640,62481
130,15-05-2024,1468,Travel,Amex,Hengelo,82,Female,Praesent blandit. Nam nulla.,83844,112697
131,19-10-2023,9981,Healthcare,Discover,Cayenne,37,Male,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,14210,101330
132,22-02-2024,8035,Travel,MasterCard,San Miguel,75,Male,Integer non velit.,44033,60158
133,25-06-2024,5404,Electronics,Visa,Yantang,43,Female,Suspendisse ornare consequat lectus.,92233,90074
134,26-05-2024,1237,Clothing,Amex,Qingyang,31,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",818,44223
135,02-05-2024,3467,Groceries,Discover,Shah Alam,65,Female,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,27266,171023
136,11-07-2024,4414,Entertainment,Discover,Eskilstuna,48,Male,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,88295,138514
137,13-02-2024,9219,Groceries,MasterCard,Parada de Todeia,31,Female,Morbi a ipsum. Integer a nibh.,21013,71199
138,17-09-2023,4168,Electronics,MasterCard,Dianwan,22,Female,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",33341,151289
139,12-12-2023,2521,Restaurant,Discover,Valkeakoski,91,Female,Aenean lectus. Pellentesque eget nunc.,31524,188098
140,27-08-2024,352,Electronics,MasterCard,Huambalpa,59,Female,Nulla suscipit ligula in lacus.,48121,102981
141,11-01-2024,5229,Healthcare,Visa,Simajia,67,Female,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",7252,56057
142,22-06-2024,4955,Clothing,Discover,Laascaanood,43,Female,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",27818,61326
143,20-01-2024,443,Travel,MasterCard,Changtang,51,Male,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,48109,188617
144,25-01-2024,5806,Entertainment,MasterCard,Suzëmka,40,Female,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",15468,127116
145,26-06-2024,5916,Education,Discover,Xinminxiang,46,Male,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",48208,74967
146,24-01-2024,1306,Education,Discover,Vónitsa,20,Female,Quisque ut erat. Curabitur gravida nisi at nibh.,87439,138211
147,29-03-2024,5414,Entertainment,Amex,Yaohua,87,Female,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",8059,197559
148,25-12-2023,2193,Education,MasterCard,Jacksonville,26,Male,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,88291,104715
149,10-12-2023,1340,Restaurant,Amex,Karangmulya,47,Male,In sagittis dui vel nisl.,58266,161932
150,29-07-2024,6922,Healthcare,Discover,Ancahuasi,42,Non-binary,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",17832,181770
151,19-10-2023,3646,Travel,MasterCard,Saint-Herblain,81,Female,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,49802,161435
152,28-03-2024,7268,Groceries,Discover,Baihe,57,Female,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",57414,78249
153,17-08-2024,8912,Healthcare,Visa,Su-dong,30,Male,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",13070,130730
154,02-06-2024,890,Restaurant,Visa,Triwil,53,Female,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,22092,187208
155,20-01-2024,1121,Restaurant,Discover,Cuispes,47,Male,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,17589,165905
156,26-04-2024,8951,Electronics,Discover,Tầm Vu,83,Female,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",59992,99168
157,02-09-2024,9049,Groceries,Amex,Loufan,49,Female,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",82212,132374
158,12-06-2024,3298,Clothing,Discover,Bhunya,26,Male,Aenean sit amet justo. Morbi ut odio.,43518,184326
159,01-09-2024,5701,Healthcare,MasterCard,Chenghuang,100,Male,Integer ac leo.,53698,167464
160,12-02-2024,1567,Entertainment,Discover,Aachen,86,Male,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",51713,28439
161,21-11-2023,2976,Electronics,Amex,Laranganglintong,19,Genderfluid,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",86090,30967
